127.0.0.1 - - [02/Feb/2022:17:17:06 +0100] "GET / HTTP/1.1" 404 688
127.0.0.1 - - [02/Feb/2022:17:17:07 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1443
127.0.0.1 - - [02/Feb/2022:17:17:08 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:17:08 +0100] "GET /Prueba/img/1.png HTTP/1.1" 200 27693
127.0.0.1 - - [02/Feb/2022:17:17:09 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1443
127.0.0.1 - - [02/Feb/2022:17:17:09 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:17:09 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:17:10 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1443
127.0.0.1 - - [02/Feb/2022:17:17:10 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:17:10 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:15 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1418
127.0.0.1 - - [02/Feb/2022:17:18:15 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:15 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:15 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1422
127.0.0.1 - - [02/Feb/2022:17:18:15 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1418
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1422
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:16 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:18 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:18:18 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:18 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1418
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:19 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1422
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1422
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:18:20 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:21 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:21 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1422
127.0.0.1 - - [02/Feb/2022:17:18:21 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:21 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:22 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1422
127.0.0.1 - - [02/Feb/2022:17:18:22 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:22 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:22 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:18:22 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:22 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:23 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1418
127.0.0.1 - - [02/Feb/2022:17:18:23 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:23 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:23 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1418
127.0.0.1 - - [02/Feb/2022:17:18:23 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:23 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:24 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:18:24 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:24 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:24 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1421
127.0.0.1 - - [02/Feb/2022:17:18:24 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:25 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:25 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1418
127.0.0.1 - - [02/Feb/2022:17:18:25 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:25 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:53 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1433
127.0.0.1 - - [02/Feb/2022:17:18:53 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:53 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:54 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1433
127.0.0.1 - - [02/Feb/2022:17:18:54 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:54 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:18:56 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1438
127.0.0.1 - - [02/Feb/2022:17:18:56 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:18:56 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:04 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:04 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:04 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:05 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1420
127.0.0.1 - - [02/Feb/2022:17:19:05 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:05 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:06 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:06 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [02/Feb/2022:17:19:06 +0100] "GET /Prueba/img/1.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2022:17:19:06 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1417
127.0.0.1 - - [02/Feb/2022:17:19:06 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
